Company name,Companies House number,Category,Postcode,Registered address,Incorporated,Accounts type,SIC codes,Nearest FC Urban venue,Walk (min),Venue match,In existing FC Urban sheet?,Contact first name,Contact full name,Contact job title,LinkedIn URL,Connection note (<=300),Note length,Follow-up DM,LinkedIn status,Connected at,Replied,Notes
Bmo Capital Markets,,Financial institution,EC2M 2AT,"SIXTH FLOOR, 100, LONDON",09/05/1994,FULL,64999 - Financial intermediation not elsewhere classified,Old St - Moreland Primary School,25,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Old St - Moreland Primary School, a 25-min walk from Bmo Capital Markets. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",274,"Thanks for connecting, {First}.

Quick one - we run social football games at Old St - Moreland Primary School, about 25 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Bmo Capital Markets who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Bms Group,,Financial institution,EC3N 2LS,ONE AMERICA SQUARE,18/02/1980,FULL,65120 - Non-life insurance,Whitechapel,19,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 19-min walk from Bms Group. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",243,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 19 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Bms Group who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Bop (Gp) Holdings,,Financial institution,EC2N 4AG,"LEVEL 10,, LONDON",30/03/2010,FULL,64209 - Activities of other holding companies n.e.c.,Whitechapel,24,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 24-min walk from Bop (Gp) Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",251,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Bop (Gp) Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Bopa Uk Holdings,,Financial institution,EC2N 4AG,"LEVEL 10,, LONDON",08/06/2017,FULL,64209 - Activities of other holding companies n.e.c.,Whitechapel,24,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 24-min walk from Bopa Uk Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",250,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Bopa Uk Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Brazauk,,Financial institution,EC2M 4NS,"2-4 VICTORIA AVENUE, LONDON",12/10/2007,FULL,64191 - Banks | 64999 - Financial intermediation not elsewhere classified,Whitechapel,23,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 23-min walk from Brazauk. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",241,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 23 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Brazauk who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Bride Lane Holdings,,Financial institution,EC4Y 8JP,"BRIDE HOUSE, LONDON",29/04/2022,FULL,64204 - Activities of distribution holding companies,Borough Academy,21,postcode district,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 21-min walk from Bride Lane Holdings. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",257,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 21 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Bride Lane Holdings who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Bridge Insurance Brokers,,Financial institution,EC4N 8AW,"GALLAGHER THE WALBROOK BUILDING, LONDON",07/12/1970,FULL,65120 - Non-life insurance | 65202 - Non-life reinsurance | 66220 - Activities of insurance agents and brokers,Borough Academy,21,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 21-min walk from Bridge Insurance Brokers. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",262,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 21 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Bridge Insurance Brokers who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Bridgehaven Specialty Uk,,Financial institution,EC3V 0HR,"SUITE 326, LONDON",31/07/2020,FULL,65120 - Non-life insurance,Borough Academy,24,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Borough Academy, a 24-min walk from Bridgehaven Specialty Uk. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",262,"Thanks for connecting, {First}.

Quick one - we run social football games at Borough Academy, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Bridgehaven Specialty Uk who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Britannia Global Investments,,Financial institution,EC3M 7AF,"LEVEL 29, LONDON",19/11/2015,FULL,64999 - Financial intermediation not elsewhere classified,Whitechapel,24,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 24-min walk from Britannia Global Investments. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",262,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Britannia Global Investments who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Britannia Global Management,,Accountancy / financial advisory,EC3M 7AF,"LEVEL 28, LONDON",26/05/2020,FULL,70221 - Financial management,Whitechapel,24,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 24-min walk from Britannia Global Management. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",261,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Britannia Global Management who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
Britannia Global Markets,,Financial institution,EC3M 7AF,"LEVEL 29, LONDON",06/12/1985,FULL,64999 - Financial intermediation not elsewhere classified,Whitechapel,24,exact postcode,,,,,,"Hi {First} - I'm Brian from FC Urban. We run social football at Whitechapel, a 24-min walk from Britannia Global Markets. Looking for someone inside the team up for starting an after-work game - we handle pitch, payments and organising. Open to a quick chat?",258,"Thanks for connecting, {First}.

Quick one - we run social football games at Whitechapel, about 24 minutes' walk from your office. A few City firms use them as an easy after-work thing for colleagues: we sort the pitch, the payments and the organising, and can top the group up with our own players if numbers are short.

Is there someone at Britannia Global Markets who looks after wellbeing or staff socials I should be speaking to? Happy to be pointed elsewhere.

Brian
FC Urban",,,,
